text,label
머야 이거 고래밥cf도 아니고..고래가 왜 파닥파닥 거려~,1
아놔 첨엔 먼가 흥미진진할줄 알고 폰에 다운받아서남은 용량 부족하다고 경고 뜨는데도 꿋꿋이 쪼개서영화를 끝까지 본 내가 바보임 . 머이리 허무하고 씨지는 80년대 영구와 땡칠이같음? ㅜㅜ? 다 보자마자바로 삭제 ~ 폰용량 늘었다 ~,1
ㅡㅡ 시간버렷다....이걸 끝까지 본 내가 스님이네,1
뭐이런 xxx영화가다잇노 삼류보다못한영화고만영화고하는자체가아깝다,1
할말이없다..어쩌자는건지,1
별점 1개도 아까운 삼류쓰레기..도대체 이런 저급 영화는 왜 만드나????아오 빡쳐,1
미친영화요삼류2005년에만든거인줄알았음고래가육지에서퍼득거리는건삼뉴아동비디오도요즘그거보다잘나오는데감독누군지궁금함차라리심형래가더잘안들겠다절대보지마3,1
억지로 이끌어나가는 스토리.어이의는 그래픽.오글거리는 대사.,1
30년동안 본영화중에 최악 쓰레기 2등에 등극! ㅡㅡ,1
별등록이라...별도아까워ㅋ이걸보면서 심형래가 위대하구나싶어ㅋ섬을점프하는모비딕이 무슨 돌고래쇼만도 못하냐ㅋ시봉시봉ㅋ돈아까와ㅋ,1
내시간 돌려내....,1
정말 말도 안되는 CG를 보면서 어의살실...기술이 안되면 그냥 만화로 만들던가...이건 뭐 영화CG가 요즘  게임 그래픽 수준보다 못하네...거기다 초지루하기까지해서 잠안올때 보면 딱일듯.이런 영화를 극장에서 개봉했다고?? 제대로 미쳤군...,1
이게 영화인가 욕나온다 진짜1990년대 CG수준이네 울트라맨 보는줄...,1
이감독의 첫영화는 망작이라 다음작은 만든다면 볼확률  비도않오는데 사람이 번개맞을 확률에 달한다.,1
역사에 기리 남을 CG에 어안이 벙벙...ㅠㅠ,1
별 점이 너무 많은데? 이딴 ㅆㄹㄱ도 알바 있나?,1
아;; 돈날렸다 -- 이런 OOO기 작은 보라고해도 안본다 씹;;,1
ㅋㅋ태어나서처음으로평점줘본다ㅋㅋㅋ,1
1점도아까움 왠만해선 지루해도 내용좋면 보는편인데 와.. 급전개에 선장할배 고집장면본담부터 바로 그만봄ㅡㅡ 캐릭터를 뭐 이따구로잡음,1
"현대의 최첨단 무기도 모비딕앞에서는 무용지물, 부스터를 장착한듯한 모비딕의 놀라운 점프력, 왜 30년전에 나올법한 작품을 보고있는거지??",1
이 영화 평점 높게 주는 분들은 자기만 보고 득도하길 바라지 않고 모든이가 득도하길 바라는 마음에서 평점을 저리 줬을 것이야.. 하지만 조용히 패스를 권한다.,1
80년대 영화가 재개봉 한줄 알았음,1
